archaeological_layer.archstratigraphy_idarchstrat;assemblage.locality_idlocality;assemblage.name;assemblage.lithic_piece_count;locality.x;locality.y;query_age_min;query_age_max;age_comments
Aterian;Ain Fritissa;Ain Fritissa Unstratified Aterian Assemblage;3267;-3.551031;33.618288;0;1800000;;
Middle Paleolithic - Africa;Ain Mara;Ain Mara Middle Paleolithic Layer Archaeology;27;;;40000;200000;;
Middle Paleolithic - Africa;Ain Oum Henda 2;level I lithic;32;9.4;34.7167;40000;200000;;
Middle Paleolithic - Africa;Ain Oum Henda 2;level II lithic;39;9.4;34.7167;40000;200000;;
Aterian;Ain Oum Henda 2;surface collection;93;9.4;34.7167;40000;150000;;
MSA;Airport site;Airport Site Unit 2-5 Archaeological Assemblage;1595;33.89361;-9.95416;30000;300000;;
MSA;Aladi Springs;MSA assemblage;;40.9166667;9.3833333;30000;300000;;
MSA;Alexandersfontein;Plus 12m lake, section A, Layer 2;1;24.770994;-28.837218;30000;300000;No absolute dating. Awaiting dates from archaeology;
MSA;Alexandersfontein;Plus 19m lake, section A, Layer 1;-1;24.770994;-28.837218;10915;300000;;
MSA;Alexandersfontein;Plus 19m lake, section B, Layer 1;;24.770994;-28.837218;30000;300000;No absolute dating. Awaiting dates from archaeology;
Acheulean - Africa;Amanzi springs;Rietheuvel Member Inventar;-1;25.483;-33.7;32300;60600;;
Late Acheulean - Africa;Anyskop_Blowout;Anyskop CALC ESA;195;18.114;-32.971;300000;781000;Age based on assemblage age of 453500 +/- 327500, plus undated Late Acheulean handaxes;
MSA;Anyskop_Blowout;Anyskop CALC MSA;211;18.114;-32.971;30000;191000;Age based on undated MSA finds;
Howiesonspoort;Anyskop_Blowout;Anyskop HP Inventar;100;18.114;-32.971;58000;66000;Age based on undated HP segments;
Still Bay;Anyskop_Blowout;Anyskop SB Inventar;1;18.114;-32.971;70000;77000;Age based on undated SB points;
Late MSA;Apollo 11;Apollo 11 Layer E Archaeological Assemblage;2678;17.117286;-27.701215;12380;49500;C14 dates of Wendt's cultural layer D+ upper E that corresponds to geological units K-M (upper+lower part) of Vogelsang (2010), OSL date of late MSA assemblages attributed to Unit M+N;
Late MSA;Apollo 11;Apollo 11 Layer E Archaeological Assemblage;2678;17.117286;-27.701215;21300;49500;C14 dates of Wendt's cultural layer E that corresponds to geological units M (lower part) to N of Vogelsang (2010), OSL datess of late MSA assemblages attributed to Unit M+N;
Howiesonspoort;Apollo 11;Apollo 11 Layer F Archaeological Assemblage;10876;17.117286;-27.701215;48000;62000;C14 date of Wendt's cultural layer F that corresponds to geological units P-R of Vogelsang (2010), OSL date of sterile Unit above units attributed to Howiesons Poort (Unit P);
Howiesonspoort;Apollo 11;Apollo 11 Layer F Archaeological Assemblage;10876;17.117286;-27.701215;48000;65000;C14 date of Wendt's cultural layer F that corresponds to geological units P-R of Vogelsang (2010), OSL date of Units attributed to Howiesons Poort (Unit Q+R);
Still Bay;Apollo 11;Apollo 11 Layer G Archaeological Assemblage;5521;17.117286;-27.701215;48000;70000;C14 dates of Wendt's cultural layer G that corresponds to geological units S-U of Vogelsang (2010), OSL date of Unit beneath units attributed to Howiesons Poort (Unit S);
Still Bay;Apollo 11;Apollo 11 Layer G Archaeological Assemblage;5521;17.117286;-27.701215;48000;74000;C14 dates of Wendt's cultural layer G that corresponds to geological units S-U of Vogelsang (2010), OSL date of Unit attributed to Stillbay (Unit T);
Still Bay;Apollo 11;Apollo 11 Layer G Archaeological Assemblage;5521;17.117286;-27.701215;48000;77000;C14 dates of Wendt's cultural layer G that corresponds to geological units S-U of Vogelsang (2010);
Early MSA;Apollo 11;Apollo 11 Layer H lower Archaeological Assemblage;1475;17.117286;-27.701215;218000;254000;AAR age, pooled mean age of aminogroup C of 236+/-18ka, corresponding to Units Y, Z of Vogelsang's excavation in 2007 (see Murray-Wallace et al. 2015);
Early MSA;Apollo 11;Apollo 11 Layer H upper Archaeological Assemblage;715;17.117286;-27.701215;168000;188000;AAR age, pooled mean age of aminogroup B of 178+/-10ka, corresponding to Units V, W, X of Vogelsang's excavation in 2007 (see Murray-Wallace et al. 2015);
Acheulean - Africa;Arkin 5;lithic inventar;9769;31.3666667;21.7833333;300000;1800000;;
Acheulean - Africa;Arkin 8;excavation inventar;2500;31.3666667;21.7833333;300000;1800000;;
MSA;Asfet;Asfet Surface Layer Achaeological Assemblage;1486;39.685031;15.120275;30000;300000;;
MSA;Bambata Cave;Bambata Cave Lower Cave Earth Archaeological Assemblage;-1;28.405848;-20.503238;30000;300000;;
MSA;Bambata Cave;Bambata Cave Upper Cave Earth Archaeological Assemblage;-1;28.405848;-20.503238;30000;300000;;
Middle Paleolithic - Africa;Beit Khallaf 2;Lithic Assemblage Surface Layer;175;31.7611111111;26.3138888889;40000;200000;;
Middle Paleolithic - Africa;Beit Khallaf 3;Lithic Assemblage Surface Layer;412;31.7611111111;26.3138888889;40000;200000;;
Fauresmith;Bestwood 1;Bestwood 1 Fauresmith assemblage;-1;23.119;-27.701;328000;399000;TT-OSL;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East BS-11 Unit 4+3 Archaeological Assemblage;5076;28.75;22.92;97800;250000;published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East BS-11 Unit 4+3 Surface Collection;128;28.75;22.92;97800;250000;published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East BS-12 Unit 1b Archaeological Assemblage;837;28.75;22.92;97800;105800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East BS-1A+B Unit 1a2 Archaeolgocial Assemblage;-1;28.75;22.92;97800;105800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East E-88-1 Unit 2d-b Archaeological Assemblage;5600;28.75;22.92;140000;250000;published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East E-88-1 Unit 2d-b Surface Collection;255;28.75;22.92;140000;250000;published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East E-88-11 Unit 1b Archaeological Assemblage;615;28.75;22.92;97800;105800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East E-88-11 Unit 1b Surface Collection;2412;28.75;22.92;97800;105800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East E-88-2 Unit 4 Archaeological Assemblage;1411;28.75;22.92;69500;76900;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Sahara East;Bir Sahara East E-88-2 Unit 4 Surface Collection;1753;28.75;22.92;69500;76900;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Area A 1974 Archaeological Assemblage;1924;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Area A 1974 Bone Cluster Archaeological Assemblage;21;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Area A 1974 Surface Collection;112;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Area C 1974 Archaeological Assemblage;3572;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Area C 1974 Surface Collection;614;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Green Phase Archaeological Assemblage;214;28.75;22.92;78500;91500;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Grey Phase 1 Archaeological Assemblage;37414;28.75;22.92;113500;156700;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Grey Phase 2 Archaeological Assemblage;10102;28.75;22.92;102300;129700;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi BT-14 Grey Phase 3 Archaeological Assemblage;3969;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-1 Bed 4 Archaeological Assemblage;7777;28.75;22.92;90600;280000;arch_strat: MP Africa, published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-2 Bed 2a Archaeological Assemblage;456;28.75;22.92;90600;129700;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-2 Bed 2c Archaeological Assemblage;20;28.75;22.92;90600;129700;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-2 Bed 6a Archaeological Assemblage;51;28.75;22.92;78500;91500;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-2 Bed 6b Archaeological Assemblage;281;28.75;22.92;78500;91500;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-2 Bed 7 Archaeological Assemblage;6379;28.75;22.92;78500;91500;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-2 Surface Collection;1238;28.75;22.92;78500;91500;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-3 Bed 1b Archaeological Assemblage;1466;28.75;22.92;90600;129700;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-4 Bed 1b Northern Area Archaeological Assemblage;1011;28.75;22.92;90600;129700;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-86-4 Bed 1b Southern Area Archaeological Assemblage;1071;28.75;22.92;90600;129700;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-1 Archaeological Assemblage;27478;28.75;22.92;90600;280000;arch_strat: MP Africa, published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-2 Bed 5+4 Archaeological Assemblage;52156;28.75;22.92;78500;91500;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-2 Bed 5+4 Archaeological Assemblage;52156;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-3 Bed 2 Archaeological Assemblage;660;28.75;22.92;78500;91500;deposits seem to correlate with Green Phase Deposits of Section BT-A, therefore we used age_min/max of Green Phase Deposits;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-4 Bed 4 Archaeological Assemblage;9271;28.75;22.92;90600;280000;arch_strat: MP Africa, published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-5 Bed 6-2 Archaeological Assemblage;9045;28.75;22.92;90600;113800;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-5 Bed 6-2 Archaeological Assemblage;9045;28.75;22.92;102300;129700;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-87-5 Bed 6-2 Archaeological Assemblage;9045;28.75;22.92;113500;156700;only used reanalyzed OSL dates (Nicoll 2018) for age_min/max, older dates and other dating methods are quite inconsistent, see table geo_age for further information;
Middle Paleolithic - Africa;Bir Tarfawi;Bir Tarfawi E-88-14 Slope Deposit Surface Collection;79;28.75;22.92;113500;280000;published dates in Wendorf et al. 1993 are inconsistent, we used those dates that fit with the reanalyzed OSL dates of younger deposits (Nicoll 2018), see table geo_age for other dates;
MSA;Birimi;Birimi Layer 3 Archaeological Assemblage;32;-0.39222;10.5611;20700;52200;;
Still Bay;Blombos Cave;BBC M1 Archaeological Assemblage;28775;21.21818;-34.4132;67200;78300;;
MSA;Blombos Cave;BBC M2 Archaeological Assemblage;2839;21.21818;-34.4132;65000;81200;;
MSA;Blombos Cave;BBC M2 Archaeological Assemblage;2839;21.21818;-34.4132;67000;89800;;
Still Bay;Blombos Cave;BBC M2 Archaeological Assemblage;2839;21.21818;-34.4132;65000;81200;;
Still Bay;Blombos Cave;BBC M2 Archaeological Assemblage;2839;21.21818;-34.4132;67000;89800;;
MSA;Blombos Cave;BBC M3 Archaeological Assemblage;16828;21.21818;-34.4132;70900;120500;includes CI/CIA;
MSA;Blombos Cave;BBC M3 Archaeological Assemblage;16828;21.21818;-34.4132;70900;120500;;
MSA 3;Boomplaas Cave;Boomplaas Layer BOL Archaeological Assemblage;999;22.1833333;-33.3833333;35000;65000;OIS 4;
MSA 3;Boomplaas Cave;Boomplaas Layer BP Archaeological Assemblage;1828;22.1833333;-33.3833333;35000;65000;OIS 2-3 boundary;
Pre-Howiesonspoort;Boomplaas Cave;Boomplaas Layer LOH Archaeological Assemblage;48;22.1833333;-33.3833333;40000;74000;;
Howiesonspoort;Boomplaas Cave;Boomplaas Layer OCH Archaeological Assemblage;446;22.1833333;-33.3833333;40000;74000;;
MSA 3;Boomplaas Cave;Boomplaas Layer OLP Archaeological Assemblage;837;22.1833333;-33.3833333;35000;65000;;
MSA/LSA;Boomplaas Cave;Boomplaas Layer YOL Archaeological Assemblage;2544;22.1833333;-33.3833333;20000;40000;;
ELSA;Border Cave;Border Cave 1BSLC 2015-2017 Archaeology;-1;31.98875;-27.021443;32000;40200;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
ELSA;Border Cave;Border Cave 1WA 2015-2017 Archaeology;-1;31.98875;-27.021443;33000;47750;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Post-Howiesonspoort;Border Cave;Border Cave 2BS_L 2015-2017 Archaeology;-1;31.98875;-27.021443;24790;50680;;
Post-Howiesonspoort;Border Cave;Border Cave 2BS_L 2015-2017 Archaeology;-1;31.98875;-27.021443;24790;55380;;
Post-Howiesonspoort;Border Cave;Border Cave 2BS_L 2015-2017 Archaeology;-1;31.98875;-27.021443;45000;60860;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Post-Howiesonspoort;Border Cave;Border Cave 2BS_UP 2015-2017 Archaeology;-1;31.98875;-27.021443;35000;51400;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Post-Howiesonspoort;Border Cave;Border Cave 2WA 2015-2017 Archaeology;-1;31.98875;-27.021443;44290;63000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Howiesonspoort;Border Cave;Border Cave 3BS 2015-2017 Archaeology;-1;31.98875;-27.021443;48700;76000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Howiesonspoort;Border Cave;Border Cave 3BS 2015-2017 Archaeology;-1;31.98875;-27.021443;54000;76000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
MSA 1;Border Cave;Border Cave 4BS 2015-2017 Archaeology;-1;31.98875;-27.021443;75000;79000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001, correlates with Unit 1 GBS.;
MSA 1;Border Cave;Border Cave 4WA 2015-2017 Archaeology;-1;31.98875;-27.021443;107000;171000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
MSA 1;Border Cave;Border Cave 5BS 2015-2017 Archaeology;-1;31.98875;-27.021443;133000;171000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
ELSA;Border Cave;Border Cave Layer 1 BS LR B+C Archaeological Assemblage;722;31.98875;-27.021443;31000;41200;the newest published revised ESR dates were used (Grün et al. 2003) not the original published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
ELSA;Border Cave;Border Cave Layer 1 BS LR B+C Archaeological Assemblage;722;31.98875;-27.021443;32000;40200;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
MSA 1;Border Cave;Border Cave Layer 1 GBS LR Archaeological Assemblage;4232;31.98875;-27.021443;75000;79000;correlates with Unit 4 BS;
MSA 1;Border Cave;Border Cave Layer 1 GBS UP Archaeological Assemblage;2753;31.98875;-27.021443;75000;79000;correlates with Unit 4 BS;
Howiesonspoort;Border Cave;Border Cave Layer 1 RGBS Archaeological Assemblage;6276;31.98875;-27.021443;70000;78000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
ELSA;Border Cave;Border Cave Layer 1 WA Archaeological Assemblage;4729;31.98875;-27.021443;33000;47750;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Post-Howiesonspoort;Border Cave;Border Cave Layer 2 BS LR A+B Archaeological Assemblage;406;31.98875;-27.021443;24790;50680;;
Post-Howiesonspoort;Border Cave;Border Cave Layer 2 BS LR A+B Archaeological Assemblage;406;31.98875;-27.021443;24790;55380;;
Post-Howiesonspoort;Border Cave;Border Cave Layer 2 BS UP Archaeological Assemblage;369;31.98875;-27.021443;35000;51400;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Post-Howiesonspoort;Border Cave;Border Cave Layer 2 WA Archaeological Assemblage;780;31.98875;-27.021443;44290;63000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Howiesonspoort;Border Cave;Border Cave Layer 3 BS UP+LR Archaeological Assemblage;1882;31.98875;-27.021443;48700;76000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Howiesonspoort;Border Cave;Border Cave Layer 3 BS UP+LR Archaeological Assemblage;1882;31.98875;-27.021443;54000;76000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
Howiesonspoort;Border Cave;Border Cave Layer 3 WA Archaeological Assemblage;604;31.98875;-27.021443;39000;66000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
MSA 1;Border Cave;Border Cave Layer 4 WA Archaeological Assemblage;-1;31.98875;-27.021443;107000;171000;the newest published revised ESR dates were used (Grün et al. 2003), not the original dates published in Grün et al. 1990 or the revised dates in Grün et al. 2001;
MSA 1;Border Cave;Border Cave Layer BACO A Archaeological Assemblage;1098;31.98875;-27.021443;133000;300000;Units BACO A-D were replaced by non-equivalent Unit 5 BS, 5 WA and 6 BS (Beaumont et al. 92, p. 490), as there is no exact correlation between the units, BACO A-D span the absolute time span of the dated Units 5 BS to 6 BS;
MSA 1;Border Cave;Border Cave Layer BACO B Archaeological Assemblage;5444;31.98875;-27.021443;133000;300000;Units BACO A-D were replaced by non-equivalent Unit 5 BS, 5 WA and 6 BS (Beaumont et al. 92, p. 490), as there is no exact correlation between the units, BACO A-D span the absolute time span of the dated Units 5 BS to 6 BS;
MSA 1;Border Cave;Border Cave Layer BACO B Archaeological Assemblage;5444;31.98875;-27.021443;133000;300000;Units BACO A-D were replaced by non-equivalent Unit 5 BS, 5 WA and 6 BS (Beaumont et al. 92, p. 490), as there is no exact correlation between the units, BACO A-D span the absolute time span of the dated Units 5 BS to 6 BS.;
MSA 1;Border Cave;Border Cave Layer BACO C Archaeological Assemblage;7936;31.98875;-27.021443;133000;300000;Units BACO A-D were replaced by non-equivalent Unit 5 BS, 5 WA and 6 BS (Beaumont et al. 92, p. 490), as there is no exact correlation between the units, BACO A-D span the absolute time span of the dated Units 5 BS to 6 BS.;
